id,days,months,censor,person_crime,property_crime,age
134,517,16.985626283367555,0,0,1,1.013371715776863
135,523,17.182751540041068,0,0,1,-6.625231980321701
136,528,17.347022587268995,0,0,1,-7.471227873545519
137,528,17.347022587268995,0,0,1,2.223501763689253
138,535,17.57700205338809,1,1,0,15.606116411190964
139,538,17.675564681724847,0,1,1,14.72726630852156
140,555,18.234086242299796,0,0,1,4.263200600102667
141,557,18.299794661190965,1,0,1,4.553412783538672
142,580,19.055441478439427,1,1,0,-1.8887501185831646
143,581,19.08829568788501,0,1,1,-2.4910772917522266
144,591,19.416837782340863,0,0,1,-0.15569057032854516
145,593,19.482546201232033,0,0,1,11.600640709616702
146,611,20.073921971252567,0,0,1,-5.2864229454141025
147,619,20.33675564681725,1,1,0,1.714261517282683
148,654,21.48665297741273,1,1,1,6.918915863620807
149,655,21.519507186858316,0,0,1,-8.246039646303903
150,668,21.946611909650922,1,0,1,1.8319891011293628
151,689,22.636550308008214,1,1,1,4.131783762320328
152,691,22.702258726899384,1,0,0,-4.374718633299111
153,718,23.589322381930184,1,0,0,7.805979518651608
154,728,23.917864476386036,1,0,1,-0.7936098037303232
155,756,24.83778234086242,0,0,0,-2.0913510768309393
156,805,26.4476386036961,0,0,1,-7.939400358145107
157,807,26.51334702258727,0,0,0,4.421995945756333
158,818,26.874743326488705,0,0,1,-7.961303164442164
159,829,27.236139630390145,0,0,1,7.376136945071867
160,845,27.761806981519506,1,0,0,9.456903543292267
161,859,28.2217659137577,1,0,0,15.482913125770022
162,861,28.28747433264887,1,0,0,4.37271463158795
163,882,28.97741273100616,0,1,1,-2.2556221240588634
164,895,29.404517453798768,1,1,1,1.2871567944900733
165,901,29.60164271047228,1,0,0,32.868265624058864
166,1004,32.98562628336756,1,1,1,-5.792925341033541
167,1065,34.98973305954826,1,0,0,7.562310798596851
168,1068,35.08829568788501,1,0,1,4.977779655544143
169,1095,36,1,0,1,-9.617702890657085
170,1095,36,1,0,1,-3.9558274628679015
171,1095,36,1,0,0,-3.7313236983230667
172,1095,36,1,0,1,-10.318592692162902
173,1095,36,1,0,1,1.4651170956536639
174,1095,36,1,0,1,3.5376701415126597
175,1095,36,1,0,1,10.645130784907597
176,1095,36,1,1,1,-5.727216922142368
177,1095,36,1,0,1,-6.408941768138263
178,1095,36,1,0,0,-6.942822671629024
179,1095,36,1,0,1,0.8737413256331266
180,1095,36,1,1,1,-1.8832744170088986
181,1095,36,1,0,1,-8.558154636036964
182,1095,36,1,0,1,-2.4856015901779607
183,1095,36,1,0,1,-3.7367993998973326
184,1095,36,1,0,1,-3.8955947455509943
185,1095,36,1,0,1,-9.261782288329911
186,1095,36,1,0,1,-6.899017059034907
187,1095,36,1,1,0,-7.20018064561944
188,1095,36,1,0,1,-5.100249091889118
189,1095,36,1,0,0,0.8463628177618041
190,1095,36,1,0,0,15.403515452943186
191,1095,36,1,0,1,-2.340495498459962
192,1095,36,1,0,1,1.864843310574944
193,1095,36,1,0,1,10.36313215383299
194,1095,36,1,0,0,8.30700621269678
